Continent,Country,Museum 1,Museum 2,Famous Attraction 1,Famous Attraction 2,Famous Attraction 3,Famous Attraction 4,Famous Attraction 5,Hotel in Center,Special Feature,Shopping Center, Popularity
Europe,France,Louvre,Musée d'Orsay,Eiffel Tower,Notre-Dame Cathedral,Champs-Élysées,Montmartre,Palace of Versailles,Hotel Le Meurice,French Cuisine,Galeries Lafayette,8
Europe,Italy,Uffizi Gallery,Vatican Museums,Colosseum,Leaning Tower of Pisa,Venice Canals,Duomo di Milano,Amalfi Coast,Hotel de Russie,Roman History,Galleria Vittorio Emanuele II,7
Europe,Germany,Alte Nationalgalerie,Deutsches Museum,Brandenburg Gate,Neuschwanstein Castle,Cologne Cathedral,Black Forest,Heidelberg Castle,Hotel Adlon Kempinski,Berlin Wall History,KaDeWe,5
Europe,Spain,Prado Museum,Guggenheim Museum,La Sagrada Familia,Alhambra,Park Güell,Plaza Mayor,Seville Cathedral,Hotel Ritz Madrid,Flamenco Dance,El Corte Inglés, 5
Asia,Japan,Tokyo National Museum,Kyoto National Museum,Mount Fuji,Tokyo Tower,Fushimi Inari Shrine,Arashiyama Bamboo Grove,Shibuya Crossing,Imperial Hotel Tokyo,Cherry Blossoms,Shibuya 109,9
Asia,China,Forbidden City,Shanghai Museum,Great Wall,Terra Cotta Warriors,The Bund,West Lake,Li River,Peninsula Beijing,Ancient History and Culture,Nanjing Road,3
Asia,India,National Museum,Chhatrapati Shivaji Maharaj Vastu Sangrahalaya,Taj Mahal,Jaipur's Amber Fort,Kerala Backwaters,Gateway of India,Meenakshi Temple,Taj Mahal Palace,Rich Heritage and Festivals,Phoenix Market City,4
North America,USA,Metropolitan Museum of Art,Smithsonian National Museum of Natural History,Statue of Liberty,Golden Gate Bridge,Yellowstone National Park,Disneyland,Grand Canyon,Waldorf Astoria New York,Diverse Culture,The Mall at Millenia,10
North America,Canada,Royal Ontario Museum,Montreal Museum of Fine Arts,Niagara Falls,Banff National Park,CN Tower,Old Quebec,Stanley Park,Fairmont Chateau Laurier,Natural Beauty,Yorkdale Shopping Centre,7
North America,Mexico,National Museum of Anthropology,Frida Kahlo Museum,Chichen Itza,Teotihuacan,Palacio de Bellas Artes,Copper Canyon,Tulum,Ritz-Carlton Cancun,Mayan Culture,Antara Polanco,6
South America,Brazil,Museum of Art of São Paulo,Oscar Niemeyer Museum,Christ the Redeemer,Sugarloaf Mountain,Iguazu Falls,Copacabana Beach,Amazon Rainforest,Belmond Copacabana Palace,Samba and Carnival,Shopping Cidade Jardim,8
South America,Argentina,MALBA,Museum of Latin American Art of Buenos Aires,Iguazu Falls,Perito Moreno Glacier,La Boca,Recoleta Cemetery,Plaza de Mayo,Alvear Palace Hotel,Tango Dance,Patio Bullrich,6
South America,Peru,Larco Museum,Museo de la Nación,Machu Picchu,Colca Canyon,Amazon Rainforest,Plaza de Armas,Huacachina Oasis,Hotel Monasterio Inka,Inca History,Jockey Plaza,4
Oceania,Australia,National Gallery of Victoria,Australian Museum,Sydney Opera House,Great Barrier Reef,Uluru,Blue Mountains,Bondi Beach,The Langham Sydney,Outback Adventures,Queen Victoria Building,7
Oceania,New Zealand,Te Papa,Canterbury Museum,Milford Sound,Hobbiton,Franz Josef Glacier,Bay of Islands,Tongariro National Park,The George Christchurch,Maori Culture,The Base,7
Oceania,Fiji,Fiji Museum,Suva Municipal Market,Coral Coast,Yasawa Islands,Garden of the Sleeping Giant,Sigatoka Sand Dunes,Denarau Island,InterContinental Fiji Golf Resort,Pristine Beaches,Port Denarau Retail and Commercial Centre,2
Africa,Egypt,The Egyptian Museum,Alexandria National Museum,Great Pyramids of Giza,Sphinx,Valley of the Kings,Abu Simbel Temples,Siwa Oasis,Marriott Mena House,Ancient Civilization,Cairo Festival City Mall,4
Africa,South Africa,Iziko South African Museum,Apartheid Museum,Table Mountain,Kruger National Park,Cape of Good Hope,Robben Island,Victoria & Alfred Waterfront,The Silo Hotel,Diverse Wildlife,Sandton City,8
Africa,Morocco,Museum of Moroccan Arts,Batha Museum,Jemaa el-Fnaa,Atlas Mountains,Chefchaouen,Majorelle Garden,Sahara Desert,La Mamounia Hotel,Traditional Markets,Morocco Mall,5
